Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
A,1,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978024632,0.007865346,0.085783813,2.324343092,20.88285502,110.5866366,25.88868494,84.69795168,1.215237765,0.284491043,0.930746722,106.6803211,1.172311221,96.46764236,1,58,0.03030303,1,0.96969697,32,0,0,0.983050847,1,0.991452991,0.976351078,0.998432602,0.999108028,0.989010989,0.019314019,0.980685981,0.010989011,0.989197243,0.989010989,0.988635296,0.978800752,0.996515389,0.991401059,0.971509972,0.989010989,0.018,0,0.015625,0,15.625,0,68528,183750,52344,98.9010989,33.6996337,?,?,?,?
A,1,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,91,0,0,100,0,0,1,0.003037891,0.035373507,0.897748423,8.61117947,110.5866366,0.771264141,109.8153725,1.215237765,0.00847543,1.206762335,109.8153725,1.206762335,99.30257022,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.015,0,0.015625,0,15.625,0,68528,183750,52344,100,33.6996337,?,?,?,?
A,1,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978024632,0.010233697,0.090896524,3.02423091,22.12747212,110.5866366,1074.694868,-964.1082319,1.215237765,11.80983372,-10.59459595,106.0950504,1.165879674,95.93840052,1,58,0.03030303,1,0.96969697,32,0,0,0.983050847,1,0.991452991,0.976351078,0.975182863,0.966776966,0.989010989,0.019314019,0.980685981,0.010989011,0.989197243,0.989010989,0.988635296,0.978800752,0.973193473,0.968681177,0.971509972,0.989010989,0.016,0,0.015625,0,15.625,0,68528,183750,52344,98.9010989,33.6996337,?,?,?,?
A,1,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.936229853,0.022069252,0.1457055,6.521837952,35.46994152,110.5866366,63.23022976,47.35640686,1.215237765,0.69483769,0.520400075,103.8881521,1.141628045,93.94277215,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,1,1,0.967032967,0.002747253,0.997252747,0.032967033,0.976923077,0.967032967,0.969454484,0.956059096,0.997584833,0.976167119,0.924944587,0.967032967,0.008,0,0.015625,0,15.625,0,68528,183750,52344,97.8021978,34.06593407,?,?,?,?
A,1,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,84,7,0,92.30769231,7.692307692,0,0.85120299,0.050052742,0.220120284,14.79143355,53.58516727,110.5866366,163.2846629,-52.69802631,1.215237765,1.794336955,-0.57909919,92.18969269,1.013073546,83.36422511,0.965517241,56,0.03030303,1,0.96969697,32,0.034482759,2,0.98245614,0.965517241,0.973913043,0.929405371,0.992685475,0.99629356,0.923076923,0.028288378,0.971711622,0.076923077,0.938451899,0.923076923,0.928841798,0.889886257,0.990638482,0.963085062,0.827382779,0.923076923,0,0,0,0,0,0,68528,183750,52344,93.40659341,33.6996337,?,?,?,?
A,1,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956912879,0.019190187,0.12705516,5.671025634,30.92978022,110.5866366,71.93797747,38.64865915,1.215237765,0.790527225,0.42471054,103.5948431,1.138404869,93.67754212,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,0.996865204,0.998383621,0.978021978,0.005311355,0.994688645,0.021978022,0.978428978,0.978021978,0.97807787,0.965709668,0.991018139,0.964012602,0.943193093,0.978021978,0,0,0,0,0,0,68528,183750,52344,97.8021978,34.06593407,?,?,?,?
A,1,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,91,0,0,100,0,0,1,6.28E-04,0.00448481,0.185490447,1.091763472,110.5866366,0.125642166,110.4609944,1.215237765,0.001380683,1.213857082,110.4609944,1.213857082,99.88638576,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,68528,183750,52344,100,33.33333333,?,?,?,?
A,1,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,91,0,0,100,0,0,1,5.58E-04,0.005921544,0.163712081,1.430738613,111.7337764,0.113446652,111.6203298,1.227843697,0.001246667,1.226597031,111.6203298,1.226597031,99.898467,1,57,0,0,1,34,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,68528,183750,52344,100,33.6996337,?,?,?,?
A,1,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,90,0,0,100,0,0,1,1.36E-04,8.82E-04,0.039967491,0.213986183,109.9297827,0.026489866,109.9032929,1.22144203,2.94E-04,1.221147698,109.9032929,1.221147698,99.97590292,1,57,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,68528,183931,52163,100,33.33333333,?,?,?,?
A,1,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,88,2,0,97.77777778,2.222222222,0,0.956574186,0.014899731,0.121700178,4.391001408,29.53440148,109.9297827,196.8981483,-86.96836553,1.22144203,2.187757203,-0.966315173,105.5171414,1.172412682,95.98594555,0.98245614,56,0.03030303,1,0.96969697,32,0.01754386,1,0.98245614,0.98245614,0.98245614,0.95215311,0.996810207,0.998329156,0.977777778,0.020129001,0.979870999,0.022222222,0.979166667,0.977777778,0.978039216,0.956436492,0.995321247,0.990410053,0.965393877,0.977777778,0,0,0,0,0,0,68528,183931,52163,97.77777778,33.33333333,?,?,?,?
A,2,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.957426901,0.01508875,0.120762798,4.458981349,29.39799388,110.5866366,55.4157725,55.17086412,1.215237765,0.608964533,0.606273232,106.2826241,1.167940924,96.10801755,0.965517241,56,0,0,1,33,0.034482759,2,1,0.965517241,0.98245614,0.954119923,0.998955068,0.999425287,0.978021978,0.005311355,0.994688645,0.021978022,0.979802605,0.978021978,0.978299159,0.957854038,0.997005376,0.991228266,0.965640516,0.978021978,0,0,0,0,0,0,68528,183750,52344,97.8021978,33.6996337,?,?,?,?
A,2,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,87,4,0,95.6043956,4.395604396,0,0.909878683,0.030707703,0.171645929,9.074646706,41.78477187,110.5866366,1132.532889,-1021.946252,1.215237765,12.44541636,-11.23017859,96.61612953,1.061715709,87.36691203,1,58,0.090909091,3,0.909090909,30,0,0,0.950819672,1,0.974789916,0.929721206,0.97492163,0.970205615,0.956043956,0.062337662,0.937662338,0.043956044,0.957665286,0.956043956,0.951964002,0.920036257,0.970442744,0.957120227,0.887867035,0.956043956,0,0,0,0,0,0,68528,183750,52344,95.6043956,33.6996337,?,?,?,?
A,2,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,87,4,0,95.6043956,4.395604396,0,0.915348837,0.029333187,0.17117313,8.668453894,41.66967556,110.5866366,135.2848272,-24.69819058,1.215237765,1.486646453,-0.271408688,101.6136399,1.116633406,91.88600271,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,0.995820272,0.997910136,0.956043956,0.003663004,0.996336996,0.043956044,0.972027972,0.956043956,0.959870988,0.945098666,0.994582707,0.97406715,0.902619212,0.956043956,0,0,0,0,0,0,68528,183750,52344,95.6043956,33.33333333,?,?,?,?
A,2,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.935169793,0.022236993,0.144460532,6.571408407,35.16687177,110.5866366,55.06978073,55.51685589,1.215237765,0.605162426,0.610075339,102.1627778,1.122667888,92.38257077,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.967032967,0.006227106,0.993772894,0.032967033,0.969340659,0.967032967,0.967808662,0.960150592,0.992432476,0.971919159,0.91372549,0.967032967,0,0,0,0,0,0,68528,183750,52344,97.8021978,34.06593407,?,?,?,?
A,2,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,91,0,0,100,0,0,1,9.16E-04,0.009733759,0.270649609,2.369545763,110.5866366,0.19045634,110.3961803,1.215237765,0.002092927,1.213144838,110.3961803,1.213144838,99.82777635,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,68528,183750,52344,100,33.6996337,?,?,?,?
A,2,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,91,0,0,100,0,0,1,1.70E-04,0.001156746,0.050363291,0.281593324,110.5866366,0.033694038,110.5529426,1.215237765,3.70E-04,1.214867501,110.5529426,1.214867501,99.96953155,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.016,0,0.015625,0,15.625,0,68528,183750,52344,100,33.33333333,?,?,?,?
A,2,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956583969,0.015565773,0.110548439,4.599949645,26.91145279,110.5866366,65.50001613,45.08662049,1.215237765,0.719780397,0.495457368,105.952401,1.164312099,95.80940723,0.982758621,57,0.03030303,1,0.96969697,32,0.017241379,1,0.982758621,0.982758621,0.982758621,0.95245559,0.996865204,0.998383621,0.978021978,0.02022977,0.97977023,0.021978022,0.978021978,0.978021978,0.978021978,0.957792208,0.996955426,0.979023853,0.946633826,0.978021978,0,0,0,0,0,0,68528,183750,52344,98.9010989,34.06593407,?,?,?,?
A,2,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.97870847,0.009011268,0.087396158,2.645243229,21.11629123,111.7337764,9.559534703,102.1742417,1.227843697,0.105049832,1.122793865,109.0728989,1.198603285,97.61855582,1,57,0,0,1,34,0,0,1,1,1,1,1,1,0.989010989,9.16E-04,0.999084249,0.010989011,0.990384615,0.989010989,0.989273619,0.986807592,0.999092425,0.994126112,0.97148847,0.989010989,0,0,0,0,0,0,68528,183750,52344,98.9010989,33.6996337,?,?,?,?
